35778	26443
39551	29620
39405	34967
36389	37917
33727	37371
32488	35994
31245	35613
29591	34771
29564	32245
32492	30283
35614	32252
34538	37103
29149	39101
24880	34396
26849	26870
33447	24306
37669	29142
35313	35243
30028	35108
29015	28743
34621	23743
41809	26474
43806	35318
38839	43067
30986	44342
25447	39555
24377	32900
26820	28178
30740	26627
34319	27721
36460	30129
36868	32484
36198	34125
35118	35240
33551	36287
31236	36680
29046	35342
28737	32390
30741	29992
32949	30314
32784	32570
30527	33325
29487	30499
32137	26718
36662	26527
38847	30812
37165	35293
34496	35948
34260	33981
35691	34083
35092	37303
31173	39445
27432	36631
27988	31111
32013	28829
34552	31824
32647	35612
29102	35184
28691	31192
31795	28742
34204	30352
33042	32794
30684	31865
32024	30238
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
