1559	1367
1608	1335
1667	1315
1731	1312
1796	1325
1856	1353
1909	1396
1951	1450
1978	1512
1990	1578
1988	1643
1970	1705
1941	1757
1903	1801
1859	1833
1813	1853
1767	1862
1726	1861
1691	1853
1662	1840
1640	1826
1625	1810
1614	1798
1606	1789
1599	1783
1591	1781
1581	1781
1567	1779
1549	1776
1529	1770
1508	1758
1487	1739
1468	1714
1456	1682
1452	1645
1458	1607
1475	1570
1502	1537
1538	1512
1583	1498
1631	1498
1680	1512
1724	1541
1759	1584
1782	1637
1788	1697
1776	1759
1746	1820
1698	1871
1636	1910
1561	1930
1481	1930
1400	1908
1326	1865
1263	1802
1218	1722
1194	1633
1194	1539
1217	1446
1264	1363
1331	1294
1413	1244
1504	1218
1598	1217
1687	1240
1766	1285
1827	1348
1867	1424
1884	1506
1876	1587
1846	1661
1795	1720
1730	1761
1656	1779
1580	1773
1509	1744
1449	1693
1408	1625
1387	1544
1391	1459
1420	1375
1473	1300
1546	1240
1637	1199
1737	1183
1842	1192
1944	1228
2036	1288
2113	1370
2170	1469
2203	1579
2211	1695
2192	1810
2150	1918
2085	2013
2002	2091
1905	2150
1801	2187
1693	2202
1588	2194
1489	2166
1399	2120
1323	2060
1262	1989
1218	1911
1190	1830
1178	1749
1180	1670
1196	1596
1223	1530
1259	1472
1303	1424
1351	1385
1403	1356
1455	1337
1508	1326
1558	1324
1607	1330
1651	1343
1692	1362
1727	1385
1757	1413
1781	1442
1799	1474
1812	1506
1819	1537
1821	1568
1819	1597
1815	1624
1808	1647
1799	1669
1788	1687
1777	1704
1766	1721
1754	1735
1741	1749
1728	1764
1713	1777
1695	1792
1676	1804
1652	1816
1625	1823
1597	1828
1565	1828
1532	1821
1499	1809
1468	1788
1440	1762
1418	1729
1403	1692
1396	1652
1399	1611
1411	1571
1431	1537
1460	1508
1493	1488
1530	1477
1567	1478
1602	1488
1629	1507
1650	1533
1660	1564
1659	1595
1648	1625
1626	1648
1597	1664
1561	1668
1525	1661
1490	1640
1461	1608
1441	1566
1433	1517
1439	1465
1460	1412
1495	1365
1543	1327
1601	1301
1665	1290
1732	1295
1796	1315
1854	1351
1900	1400
1934	1458
1952	1520
1955	1584
1941	1643
1916	1695
1880	1736
1837	1764
1793	1779
1750	1780
1714	1770
1687	1751
1671	1727
1666	1702
1673	1680
1689	1665
1712	1660
1737	1665
1761	1683
1780	1711
1790	1749
1788	1792
1771	1837
1742	1880
1698	1916
1644	1941
1583	1951
1518	1946
1455	1924
1398	1885
1353	1833
1321	1770
1307	1702
1311	1633
1332	1568
1370	1513
1420	1470
1478	1444
1539	1436
1598	1445
1649	1470
1689	1509
1715	1556
1725	1608
1717	1659
1694	1704
1658	1740
1613	1762
1563	1769
1512	1760
1467	1736
1431	1699
1407	1653
1398	1603
1403	1552
1423	1505
1455	1466
1496	1439
1542	1426
1588	1426
1629	1439
1663	1465
1686	1497
1695	1534
1692	1570
1677	1602
1650	1624
1618	1636
1582	1634
1547	1620
1518	1592
1499	1553
1491	1507
1499	1458
1522	1410
